dataset,gene,mean_expr,sd_expr,max_expr,missingness,included,is_teff5,mean_bin,sd_bin,bin_id
IMmotion150,AC022296.4,0.00382197369610847,0.0508480528562586,0.676489344211199,0,TRUE,FALSE,1,1,101
IMmotion150,AC022306.1,1.95008922271775,0.384921946001138,2.80896834107337,0,TRUE,FALSE,6,7,607
IMmotion150,AC022306.2,0.15733416812855,0.362183754436285,1.28706579284883,0,TRUE,FALSE,4,7,407
IMmotion150,AC022306.3,0.0200498021628794,0.13575730723524,1.23435881455736,0,TRUE,FALSE,2,4,204
IMmotion150,AC022308.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022325.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022325.2,0.0101550976225159,0.0958590910263704,0.998960499707937,0,TRUE,FALSE,1,3,103
IMmotion150,AC022335.1,0.101048843939329,0.456113658202179,2.84472190550105,0,TRUE,FALSE,3,8,308
IMmotion150,AC022336.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022336.2,0.0556203750595323,0.240449794029886,1.68253447427806,0,TRUE,FALSE,3,6,306
IMmotion150,AC022336.3,0.379532208193342,0.544092438954378,2.03458560709467,0,TRUE,FALSE,5,8,508
IMmotion150,AC022360.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022364.1,0.465587243478765,0.616404370333296,2.21783320191917,0,TRUE,FALSE,5,9,509
IMmotion150,AC022364.2,0.637234170973366,0.920329601440089,3.04131344149115,0,TRUE,FALSE,5,10,510
IMmotion150,AC022367.1,0.0110444966399095,0.103977199772505,1.0599065485999,0,TRUE,FALSE,1,3,103
IMmotion150,AC022382.1,0.0367894825999741,0.183622067101884,1.09871188384415,0,TRUE,FALSE,2,5,205
IMmotion150,AC022382.2,0.00442675937740086,0.0588942030221731,0.783536409799952,0,TRUE,FALSE,1,2,102
IMmotion150,AC022384.1,3.49435418682301,0.0506638735808317,3.70189435595809,0,TRUE,FALSE,9,1,901
IMmotion150,AC022384.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022387.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022387.2,0.0400298374305875,0.19980824492082,1.1712645679944,0,TRUE,FALSE,3,5,305
IMmotion150,AC022392.1,0.0105089980912474,0.0995752878877068,1.06168453779428,0,TRUE,FALSE,1,3,103
IMmotion150,AC022395.1,0.32079187840289,0.645018117982635,2.31418405039208,0,TRUE,FALSE,4,9,409
IMmotion150,AC022400.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022400.2,0.0038334768244508,0.0510010920251464,0.678525397927791,0,TRUE,FALSE,1,1,101
IMmotion150,AC022400.3,0.440240573764464,0.571161468485381,1.8838308296521,0,TRUE,FALSE,5,8,508
IMmotion150,AC022400.4,3.17252372000805,0.07388987483007,3.40697360908809,0,TRUE,FALSE,8,2,802
IMmotion150,AC022400.5,3.10905938168816,0.099925418032414,3.32094459595623,0,TRUE,FALSE,8,3,803
IMmotion150,AC022400.6,0.357485236235952,0.544559630068655,1.89831182394024,0,TRUE,FALSE,5,8,508
IMmotion150,AC022400.7,2.40344002686926,0.405960423228037,3.0634406580653,0,TRUE,FALSE,7,7,707
IMmotion150,AC022400.8,0.164907040173457,0.381264648054636,1.46538023837523,0,TRUE,FALSE,4,7,407
IMmotion150,AC022405.1,0.0105758052224614,0.100109443383619,1.06168453779428,0,TRUE,FALSE,1,3,103
IMmotion150,AC022413.1,0.0516137373087571,0.216093061744244,1.25973156729688,0,TRUE,FALSE,3,6,306
IMmotion150,AC022413.2,0.0603459613593015,0.238076366099875,1.22236264728426,0,TRUE,FALSE,3,6,306
IMmotion150,AC022414.1,1.36664191207202,1.27627531333405,2.99593887192762,0,TRUE,FALSE,6,10,610
IMmotion150,AC022415.1,2.47122372317757,0.272528426894327,2.89200311022702,0,TRUE,FALSE,7,6,706
IMmotion150,AC022415.2,3.2491036956147,0.274205647854616,3.50955173700641,0,TRUE,FALSE,8,6,806
IMmotion150,AC022417.1,0.0242022677303238,0.144712849815004,1.08230941275955,0,TRUE,FALSE,2,4,204
IMmotion150,AC022418.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022424.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022431.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022432.1,0.183885808472797,0.420539770247917,1.59705441368194,0,TRUE,FALSE,4,7,407
IMmotion150,AC022433.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022440.1,0.00942692432954165,0.088805459857448,0.910709099962905,0,TRUE,FALSE,1,3,103
IMmotion150,AC022441.1,0,0,0,0,FALSE,FALSE,,,
